Rank nUnique TaxonEntropy nFeaturesAtDepth pFeaturesAtDepth nFeaturesClassified pFeaturesClassified nFeaturesUnclassified pFeaturesUnclassified Dataset
1 1 0 0 0 266146 1 0 0 tidybug_c97
2 1 0 96 0.000360704275097127 266146 1 0 0 tidybug_c97
3 19 0.558049448023215 283 0.00106332614429674 266050 0.999639295724903 96 0.000360704275097127 tidybug_c97
4 123 2.24724838407485 1276 0.00479436098983265 265767 0.998575969580606 379 0.00142403041939387 tidybug_c97
5 2076 5.31064580481171 80667 0.303093039158958 264491 0.993781608590773 1655 0.00621839140922651 tidybug_c97
6 28284 8.26790862783255 45637 0.171473552110496 183824 0.690688569431816 82322 0.309311430568184 tidybug_c97
7 111363 9.71753915452511 138187 0.51921501732132 138187 0.51921501732132 127959 0.48078498267868 tidybug_c97
1 1 0 0 0 305524 1 0 0 tidybug_c98
2 1 0 90 0.000294575876199578 305524 1 0 0 tidybug_c98
3 19 0.558317049735059 274 0.000896819889763161 305434 0.9997054241238 90 0.000294575876199578 tidybug_c98
4 122 2.239829176868 1146 0.00375093282360797 305160 0.998808604234037 364 0.00119139576596274 tidybug_c98
5 2075 5.28747926967951 89024 0.291381364475459 304014 0.995057671410429 1510 0.0049423285895707 tidybug_c98
6 28632 8.25937346480398 49676 0.162592791401003 214990 0.703676306934971 90534 0.296323693065029 tidybug_c98
7 120318 9.79329153351746 165314 0.541083515533968 165314 0.541083515533968 140210 0.458916484466032 tidybug_c98
1 1 0 0 0 407617 1 0 0 tidybug_c99
2 1 0 84 0.000206075801549003 407617 1 0 0 tidybug_c99
3 19 0.573159194395675 253 0.000620680687998783 407533 0.999793924198451 84 0.000206075801549003 tidybug_c99
4 122 2.24892590505491 1000 0.00245328335177385 407280 0.999173243510452 337 0.000826756489547786 tidybug_c99
5 2077 5.2773588368607 112935 0.277061555332579 406280 0.996719960158678 1337 0.00328003984132163 tidybug_c99
6 29048 8.19767823715939 63721 0.156325668458381 293345 0.719658404826099 114272 0.280341595173901 tidybug_c99
7 130659 9.79145557340321 229624 0.563332736367718 229624 0.563332736367718 177993 0.436667263632282 tidybug_c99
1 1 0 0 0 1841946 1 0 0 tidybug_c100
2 1 0 0 0 1841946 1 0 0 tidybug_c100
3 18 0.527050953556509 0 0 1841946 1 0 0 tidybug_c100
4 118 2.06828389167685 0 0 1841946 1 0 0 tidybug_c100
5 2063 4.94667920717006 478806 0.259945731308084 1841946 1 0 0 tidybug_c100
6 29904 7.52625366690963 319561 0.173490970962232 1363140 0.740054268691916 478806 0.259945731308084 tidybug_c100
7 150585 8.93140602635241 1043579 0.566563297729684 1043579 0.566563297729684 798367 0.433436702270316 tidybug_c100
