Level	Precision	Recall	F-Measure	Dataset
1	1	1	1	ncbiAll_ChordataOnly
2	1	1	1	ncbiAll_ChordataOnly
3	0.975328611586601	0.95630081300813	0.965720994238888	ncbiAll_ChordataOnly
4	0.970210077396936	0.94579945799458	0.957849267859092	ncbiAll_ChordataOnly
5	0.963819399163473	0.933173195368317	0.948248750224921	ncbiAll_ChordataOnly
6	0.930478605695456	0.88699494949495	0.908216597163646	ncbiAll_ChordataOnly
7	0.776729506099121	0.701034737620103	0.736943484489191	ncbiAll_ChordataOnly
1	1	1	1	ncbiNB_ArthOnly
2	1	1	1	ncbiNB_ArthOnly
3	0.994270761860802	0.986306752262356	0.990272745204322	ncbiNB_ArthOnly
4	0.989679895942388	0.965138835176734	0.977255319648829	ncbiNB_ArthOnly
5	0.968933909604482	0.889872379921108	0.927721763138712	ncbiNB_ArthOnly
6	0.889666196721778	0.773123984840282	0.82731096540525	ncbiNB_ArthOnly
7	0.632323669574426	0.506158248897827	0.562250196749594	ncbiNB_ArthOnly
1	1	1	1	ncbiNB_ChordataOnly
2	1	1	1	ncbiNB_ChordataOnly
3	0.959294269029001	0.934324689096693	0.946644852510256	ncbiNB_ChordataOnly
4	0.951533283470456	0.91983996915068	0.935418249552707	ncbiNB_ChordataOnly
5	0.945189987937274	0.906463896654777	0.925421977264898	ncbiNB_ChordataOnly
6	0.904951913239206	0.8526944953244	0.878046359259443	ncbiNB_ChordataOnly
7	0.726281586508768	0.65183649860214	0.687048303717722	ncbiNB_ChordataOnly
1	1	1	1	ncbiOB_ArthOnly
2	1	1	1	ncbiOB_ArthOnly
3	0.994960109624972	0.989470032020466	0.992207476463142	ncbiOB_ArthOnly
4	0.987147266974641	0.963820217204103	0.97534428531846	ncbiOB_ArthOnly
5	0.944243412922043	0.798467532250378	0.865258475420827	ncbiOB_ArthOnly
6	0.873276028135429	0.701152067953616	0.777805343467202	ncbiOB_ArthOnly
7	0.670240961863776	0.508464940515504	0.578251165311395	ncbiOB_ArthOnly
1	1	1	1	ncbiOB_ChordataOnly
2	1	1	1	ncbiOB_ChordataOnly
3	0.9931188463087	0.980203027347278	0.986618668412058	ncbiOB_ChordataOnly
4	0.985181016694804	0.948665149380441	0.966578327444052	ncbiOB_ChordataOnly
5	0.975227272727273	0.930096456052888	0.952127364508792	ncbiOB_ChordataOnly
6	0.93719509852879	0.881398793396192	0.908441002345757	ncbiOB_ChordataOnly
7	0.795983296878107	0.723059138036921	0.757770794684436	ncbiOB_ChordataOnly
1       1       1       1       ncbiAll_ArthOnly
2       1       1       1       ncbiAll_ArthOnly
3       0.995665368825944       0.989471448805797       0.992558745843305       ncbiAll_ArthOnly
4       0.991643370905003       0.971017259888051       0.981221932813974       ncbiAll_ArthOnly
5       0.957575125344739       0.858435407416355       0.905299146704034       ncbiAll_ArthOnly
6       0.885593601565005       0.747924585647738       0.810957885486379       ncbiAll_ArthOnly
7       0.646780528819004       0.502073953135868       0.565313818270364       ncbiAll_ArthOnly
