Level	Precision	Recall	F-Measure	Dataset
1	1	1	1	ncbiAll_ChordataOnly
2	1	1	1	ncbiAll_ChordataOnly
3	0.994162315358194	0.993840847499384	0.994001555437486	ncbiAll_ChordataOnly
4	0.992142119778747	0.991515767430402	0.991828844717244	ncbiAll_ChordataOnly
5	0.990468699393883	0.988867331855137	0.989667367837082	ncbiAll_ChordataOnly
6	0.984000124150346	0.976333456516383	0.98015179855003	ncbiAll_ChordataOnly
7	0.956576309312295	0.903624661246612	0.929346836325054	ncbiAll_ChordataOnly
1	1	1	1	ncbiNB_ArthOnly
2	1	1	1	ncbiNB_ArthOnly
3	0.999913365264422	0.999823652254621	0.999868506747151	ncbiNB_ArthOnly
4	0.999489230502535	0.998923350607162	0.999206210436244	ncbiNB_ArthOnly
5	0.995241679158555	0.990059556036817	0.99264385429155	ncbiNB_ArthOnly
6	0.963937506590952	0.933232268543584	0.948336409108486	ncbiNB_ArthOnly
7	0.868904150236487	0.751949880114471	0.806207541662244	ncbiNB_ArthOnly
1	1	1	1	ncbiNB_ChordataOnly
2	1	1	1	ncbiNB_ChordataOnly
3	0.99153686647056	0.991106719367589	0.991321746257503	ncbiNB_ChordataOnly
4	0.989604688743639	0.988865323435843	0.989234867937266	ncbiNB_ChordataOnly
5	0.988610038610039	0.987371059481346	0.987990160613515	ncbiNB_ChordataOnly
6	0.983299754836517	0.976308686011761	0.979791749809527	ncbiNB_ChordataOnly
7	0.959491094147583	0.908801696712619	0.9334587582929	ncbiNB_ChordataOnly
1	1	1	1	ncbiOB_ArthOnly
2	1	1	1	ncbiOB_ArthOnly
3	0.999849510910459	0.999841151733536	0.999845331304526	ncbiOB_ArthOnly
4	0.999418784548868	0.999134694969526	0.999276719567871	ncbiOB_ArthOnly
5	0.988533218072259	0.97516114738611	0.981801653170822	ncbiOB_ArthOnly
6	0.974382603078911	0.945882903746311	0.959921263683935	ncbiOB_ArthOnly
7	0.933175279823102	0.855598565349341	0.892704723731183	ncbiOB_ArthOnly
1	1	1	1	ncbiOB_ChordataOnly
2	1	1	1	ncbiOB_ChordataOnly
3	0.998735412075008	0.998591091362306	0.99866324650457	ncbiOB_ChordataOnly
4	0.997325333429718	0.996820924099563	0.997073064970731	ncbiOB_ChordataOnly
5	0.996744556174492	0.995484267186879	0.996114013049686	ncbiOB_ChordataOnly
6	0.993683064076965	0.98880098262346	0.991236012023322	ncbiOB_ChordataOnly
7	0.979129263913824	0.945702828655034	0.962125806273775	ncbiOB_ChordataOnly
