Level,Precision,Recall,F-Measure,Dataset
1,1,1,1,boldANML_100
2,1,1,1,boldANML_100
3,0.997937804988438,0.992123252929646,0.995022034492124,boldANML_100
4,0.995517159779091,0.977436572060619,0.986394018652083,boldANML_100
5,0.978532366825173,0.924588409695566,0.950795867546103,boldANML_100
6,0.930826427380113,0.819119519083195,0.871407596430595,boldANML_100
7,0.901252683299146,0.772824404498941,0.832112300383795,boldANML_100
1,1,1,1,boldANML_97
2,1,1,1,boldANML_97
3,0.99823524482281,0.994070030582541,0.996148283698828,boldANML_97
4,0.995805725185122,0.978999661284859,0.987331181432928,boldANML_97
5,0.981997142403556,0.910937553691259,0.945133581711364,boldANML_97
6,0.949413255405128,0.816553843435062,0.877985827956138,boldANML_97
7,0.947652211701203,0.81356922306601,0.875506802712104,boldANML_97
1,1,1,1,boldANML_98
2,1,1,1,boldANML_98
3,0.998179579161536,0.994048644436241,0.996109829000988,boldANML_98
4,0.995779903826888,0.978454534268488,0.987041197572086,boldANML_98
5,0.980799103281495,0.911582789877364,0.94492510852143,boldANML_98
6,0.94255898410025,0.80797342192691,0.870092555989638,boldANML_98
7,0.937984757050465,0.800082031089783,0.863562614133142,boldANML_98
1,1,1,1,boldANML_99
2,1,1,1,boldANML_99
3,0.998145864516299,0.993625930159323,0.995880768786778,boldANML_99
4,0.995781504478072,0.97875212857776,0.987193381556058,boldANML_99
5,0.978726453598868,0.915970748093028,0.946309311145721,boldANML_99
6,0.935586550536219,0.812481046910355,0.869699022126228,boldANML_99
7,0.921438096180014,0.787821619351979,0.849407315305742,boldANML_99
1,1,1,1,boldFull_100
2,1,1,1,boldFull_100
3,0.997907216252854,0.98521314493334,0.991519552840536,boldFull_100
4,0.994644562975078,0.968967737309905,0.981638270929231,boldFull_100
5,0.980051733198861,0.934580948580591,0.956776396002783,boldFull_100
6,0.942531061019104,0.873863447905268,0.906899287234366,boldFull_100
7,0.901746154397648,0.819794165934614,0.858819544100471,boldFull_100
1,1,1,1,boldFull_97
2,1,1,1,boldFull_97
3,0.997405882776198,0.987551275994211,0.992454117075174,boldFull_97
4,0.993266344068594,0.965154821630783,0.979008823976875,boldFull_97
5,0.982843749244883,0.915078704432796,0.94775145631068,boldFull_97
6,0.955599794120525,0.842354908621866,0.895410964500591,boldFull_97
7,0.952338750223692,0.838084096380121,0.891565880588442,boldFull_97
