Level	Precision	Recall	F-Measure	Dataset
1	1	1	1	boldANML_100
2	1	1	1	boldANML_100
3	0.995171883835235	0.981608603626795	0.988343712876633	boldANML_100
4	0.976743492205564	0.936388078485213	0.956140158733636	boldANML_100
5	0.89948887365206	0.825496253074767	0.860905619854433	boldANML_100
6	0.838829071332436	0.784365882958641	0.810683773317173	boldANML_100
7	0.697095770241724	0.618228362221841	0.655297604159561	boldANML_100
1	1	1	1	boldANML_97
2	1	1	1	boldANML_97
3	0.974563985414928	0.903220552909084	0.937536979122644	boldANML_97
4	0.933037098274259	0.735230650217825	0.82240692246385	boldANML_97
5	0.806747341400807	0.537437400757298	0.645113994575178	boldANML_97
6	0.592842240410849	0.451203126908513	0.512415036759606	boldANML_97
7	0.315370685397575	0.233988844102439	0.268651832460733	boldANML_97
1	1	1	1	boldANML_98
2	1	1	1	boldANML_98
3	0.981241138619261	0.923906346272335	0.951711006505527	boldANML_98
4	0.948087655942219	0.790819470117067	0.862341831211974	boldANML_98
5	0.841341668221683	0.617341000889984	0.712142152023692	boldANML_98
6	0.667585563425082	0.538817005545287	0.596329058776732	boldANML_98
7	0.391835127330008	0.306531115218731	0.343973265729431	boldANML_98
1	1	1	1	boldANML_99
2	1	1	1	boldANML_99
3	0.989191548355626	0.955794800555666	0.972206451938483	boldANML_99
4	0.963919514884234	0.867508434213138	0.913176310841863	boldANML_99
5	0.886408206365968	0.72881524111927	0.799923764923697	boldANML_99
6	0.769466919148448	0.665285770986307	0.713593912141128	boldANML_99
7	0.545032165832738	0.453959118872792	0.495344304893893	boldANML_99
1	1	1	1	boldDerep1_100
2	1	1	1	boldDerep1_100
3	0.994150341577206	0.987813531060418	0.990971806172627	boldDerep1_100
4	0.983855147161857	0.954866900817162	0.969144304314036	boldDerep1_100
5	0.915057938818085	0.879223282600726	0.896782773105443	boldDerep1_100
6	0.877330063924267	0.850468892278947	0.8636906799253	boldDerep1_100
7	0.771693387410525	0.717777698939227	0.743759726494051	boldDerep1_100
1	1	1	1	boldDerep1_97
2	1	1	1	boldDerep1_97
3	0.961898395721925	0.879530591039667	0.918872322084225	boldDerep1_97
4	0.925109580463369	0.677250779292219	0.782010339291071	boldDerep1_97
5	0.75758394094878	0.514393985697696	0.612741172187841	boldDerep1_97
6	0.581068416119963	0.454739930322107	0.510200582890451	boldDerep1_97
7	0.310324367088608	0.239746959232321	0.270507913520223	boldDerep1_97
1	1	1	1	boldDerep1_98
2	1	1	1	boldDerep1_98
3	0.966304410327181	0.901483249738487	0.932769027960869	boldDerep1_98
4	0.936742424242424	0.72963549070622	0.820318743120788	boldDerep1_98
5	0.802999117906498	0.586004345143899	0.677551906467569	boldDerep1_98
6	0.648441357516706	0.528364133787517	0.582276610209571	boldDerep1_98
7	0.375389460283427	0.300539119706032	0.333819936840851	boldDerep1_98
1	1	1	1	boldDerep1_99
2	1	1	1	boldDerep1_99
3	0.975531636743943	0.937418868556593	0.956095581797604	boldDerep1_99
4	0.954423990498812	0.807629496252251	0.874912109596498	boldDerep1_99
5	0.859321367745316	0.686654662702567	0.763345630593411	boldDerep1_99
6	0.739513003631755	0.635233030442611	0.683417990967349	boldDerep1_99
7	0.497369274119143	0.417612327791968	0.454014681613839	boldDerep1_99
