Level	Precision	Recall	F-Measure	Dataset
1	1	1	1	boldANML_100
2	1	1	1	boldANML_100
3	0.999527457578578	0.998255248555575	0.998890947989038	boldANML_100
4	0.987329238893353	0.983996910931869	0.985660258430507	boldANML_100
5	0.921819412637371	0.915293747497283	0.918544990061211	boldANML_100
6	0.912279684601113	0.900120130427321	0.906159117740217	boldANML_100
7	0.87825178952466	0.829958240375265	0.853422350977552	boldANML_100
1	1	1	1	boldANML_97
2	1	1	1	boldANML_97
3	0.999673895320398	0.998493546679695	0.99908337237488	boldANML_97
4	0.994238548604585	0.990676275395953	0.992454215442346	boldANML_97
5	0.978740868423213	0.970970237368185	0.974840067856194	boldANML_97
6	0.978073417097807	0.969830218639306	0.973934375958295	boldANML_97
7	0.97735026924816	0.968038760636782	0.972672230404189	boldANML_97
1	1	1	1	boldANML_98
2	1	1	1	boldANML_98
3	0.999622926093514	0.99818580132813	0.998903846812592	boldANML_98
4	0.992512707789531	0.989183268296022	0.99084519115378	boldANML_98
5	0.967271974038528	0.959060724310262	0.963148848401512	boldANML_98
6	0.965924799557644	0.95673307318409	0.961306964746346	boldANML_98
7	0.963770628206906	0.951564318477442	0.957628578318233	boldANML_98
1	1	1	1	boldANML_99
2	1	1	1	boldANML_99
3	0.999627412504036	0.998313157372495	0.998969852676521	boldANML_99
4	0.990438961232976	0.986778130581465	0.988605156881019	boldANML_99
5	0.949299649824912	0.941481444731097	0.945374383500224	boldANML_99
6	0.945106799528124	0.934064298471919	0.939553104687286	boldANML_99
7	0.935072552469844	0.909580273863862	0.922150267211569	boldANML_99
1	1	1	1	boldDerep1_100
2	1	1	1	boldDerep1_100
3	0.999603526835907	0.998823334634169	0.99921327844028	boldDerep1_100
4	0.991132385477279	0.988020482255413	0.989573987379817	boldDerep1_100
5	0.932949542837792	0.928530883031185	0.93073496857247	boldDerep1_100
6	0.919089352511977	0.910910467000154	0.914981632659122	boldDerep1_100
7	0.869245208456827	0.832393183618926	0.850420147761528	boldDerep1_100
1	1	1	1	boldDerep1_97
2	1	1	1	boldDerep1_97
3	0.999877694542119	0.999358229937045	0.999617894752931	boldDerep1_97
4	0.997090797733885	0.995049202371493	0.996068953913456	boldDerep1_97
5	0.983723858366858	0.978943829839252	0.98132802328253	boldDerep1_97
6	0.981967867784843	0.976896277733635	0.979425507468403	boldDerep1_97
7	0.980388540513956	0.974695923232076	0.977533944279278	boldDerep1_97
1	1	1	1	boldDerep1_98
2	1	1	1	boldDerep1_98
3	0.99983897804734	0.999275809350106	0.999557314373868	boldDerep1_98
4	0.996397462092698	0.994072365421238	0.995233555767398	boldDerep1_98
5	0.978059299191375	0.973258589705764	0.975653039000847	boldDerep1_98
6	0.975072166617207	0.969423061448918	0.972239408204438	boldDerep1_98
7	0.971237801746276	0.963683180001609	0.967445742904841	boldDerep1_98
1	1	1	1	boldDerep1_99
2	1	1	1	boldDerep1_99
3	0.999790483772968	0.999099702692517	0.999444973871883	boldDerep1_99
4	0.995003883535907	0.992399815753109	0.993700143607375	boldDerep1_99
5	0.96739427873787	0.962229387379088	0.964804920803199	boldDerep1_99
6	0.961712708346503	0.955571374733051	0.958632205757254	boldDerep1_99
7	0.950874589208099	0.938989154558017	0.944894497877316	boldDerep1_99
