Length min	170.0	boldANML_100
Length 1%	171.0	boldANML_100
Length 25%	180.0	boldANML_100
Length median	181.0	boldANML_100
Length 75%	181.0	boldANML_100
Length 99%	181.0	boldANML_100
Length max	207.0	boldANML_100
N uniques	611166.0	boldANML_100
Sequence Entropy	13.32	boldANML_100
8mer Entropy	7.99	boldANML_100
16mer Entropy	10.62	boldANML_100
24mer Entropy	12.09	boldANML_100
32mer Entropy	12.9	boldANML_100
Length min	170.0	boldANML_97
Length 1%	171.0	boldANML_97
Length 25%	180.0	boldANML_97
Length median	181.0	boldANML_97
Length 75%	181.0	boldANML_97
Length 99%	181.0	boldANML_97
Length max	207.0	boldANML_97
N uniques	203711.0	boldANML_97
Sequence Entropy	12.22	boldANML_97
8mer Entropy	8.08	boldANML_97
16mer Entropy	10.81	boldANML_97
24mer Entropy	12.28	boldANML_97
32mer Entropy	13.05	boldANML_97
Length min	170.0	boldANML_98
Length 1%	171.0	boldANML_98
Length 25%	180.0	boldANML_98
Length median	181.0	boldANML_98
Length 75%	181.0	boldANML_98
Length 99%	181.0	boldANML_98
Length max	207.0	boldANML_98
N uniques	243810.0	boldANML_98
Sequence Entropy	12.4	boldANML_98
8mer Entropy	8.04	boldANML_98
16mer Entropy	10.74	boldANML_98
24mer Entropy	12.2	boldANML_98
32mer Entropy	12.99	boldANML_98
Length min	170.0	boldANML_99
Length 1%	171.0	boldANML_99
Length 25%	180.0	boldANML_99
Length median	181.0	boldANML_99
Length 75%	181.0	boldANML_99
Length 99%	181.0	boldANML_99
Length max	207.0	boldANML_99
N uniques	342952.0	boldANML_99
Sequence Entropy	12.75	boldANML_99
8mer Entropy	8.04	boldANML_99
16mer Entropy	10.71	boldANML_99
24mer Entropy	12.17	boldANML_99
32mer Entropy	12.96	boldANML_99
Length min	250.0	boldDerep1_100
Length 1%	313.0	boldDerep1_100
Length 25%	574.0	boldDerep1_100
Length median	616.0	boldDerep1_100
Length 75%	658.0	boldDerep1_100
Length 99%	1077.0	boldDerep1_100
Length max	1599.0	boldDerep1_100
N uniques	1380821.0	boldDerep1_100
Sequence Entropy	14.14	boldDerep1_100
8mer Entropy	9.06	boldDerep1_100
16mer Entropy	11.93	boldDerep1_100
24mer Entropy	13.02	boldDerep1_100
32mer Entropy	13.49	boldDerep1_100
Length min	250.0	boldDerep1_97
Length 1%	307.0	boldDerep1_97
Length 25%	589.0	boldDerep1_97
Length median	656.0	boldDerep1_97
Length 75%	658.0	boldDerep1_97
Length 99%	1476.0	boldDerep1_97
Length max	1599.0	boldDerep1_97
N uniques	266694.0	boldDerep1_97
Sequence Entropy	12.49	boldDerep1_97
8mer Entropy	9.11	boldDerep1_97
16mer Entropy	12.04	boldDerep1_97
24mer Entropy	13.09	boldDerep1_97
32mer Entropy	13.54	boldDerep1_97
Length min	250.0	boldDerep1_98
Length 1%	307.0	boldDerep1_98
Length 25%	588.0	boldDerep1_98
Length median	655.0	boldDerep1_98
Length 75%	658.0	boldDerep1_98
Length 99%	1444.0	boldDerep1_98
Length max	1599.0	boldDerep1_98
N uniques	300985.0	boldDerep1_98
Sequence Entropy	12.61	boldDerep1_98
8mer Entropy	9.1	boldDerep1_98
16mer Entropy	12.04	boldDerep1_98
24mer Entropy	13.09	boldDerep1_98
32mer Entropy	13.53	boldDerep1_98
Length min	250.0	boldDerep1_99
Length 1%	307.0	boldDerep1_99
Length 25%	586.0	boldDerep1_99
Length median	653.0	boldDerep1_99
Length 75%	658.0	boldDerep1_99
Length 99%	1272.0	boldDerep1_99
Length max	1599.0	boldDerep1_99
N uniques	392682.0	boldDerep1_99
Sequence Entropy	12.88	boldDerep1_99
8mer Entropy	9.11	boldDerep1_99
16mer Entropy	12.04	boldDerep1_99
24mer Entropy	13.09	boldDerep1_99
32mer Entropy	13.54	boldDerep1_99
